brands,processor,ram_gb,Storage_gb,gpu,screen_size,battery_hours,weight_kg,use_cases,processor_score,gpu_scores,price,model
MSI,Core i7,8,2028,RTX 2050,16.4,8.3,1.7,Design,3,2,319600.0,MSI Core i7 8GB
ASUS,Core i5,12,256,Integrated,13.6,13.8,1.7,Design,2,0,109600.0,ASUS Core i5 12GB
Acer,Core i7,8,512,GTX 1650,16.6,5.5,2.5,Office,3,1,195000.0,Acer Core i7 8GB
MSI,M2,4,256,RTX 3050,15.0,8.6,2.7,Gaming,4,3,230500.0,MSI M2 4GB
Dell,Core i7,64,2028,RTX 2050,17.0,10.8,2.4,Video Editing,3,2,443000.0,Dell Core i7 64GB
Acer,Ryzen 5,64,1024,RTX 2050,16.2,8.0,2.7,Video Editing,2,2,381500.0,Acer Ryzen 5 64GB
Acer,M2,32,2028,Integrated,15.7,13.7,2.6,Programming,4,0,270600.0,Acer M2 32GB
MSI,Ryzen 5,8,512,RTX 3050,17.1,11.2,1.5,Programming,2,3,248500.0,MSI Ryzen 5 8GB
HP,Core i3,4,1024,RTX 4060,14.9,10.6,2.0,Video Editing,1,5,342300.0,HP Core i3 4GB
Dell,Core i3,32,512,RTX 2050,17.1,11.6,1.5,Video Editing,1,2,286100.0,Dell Core i3 32GB
MSI,M2,12,1024,Integrated,13.8,13.5,1.6,Gaming,4,0,194700.0,MSI M2 12GB
Dell,Core i5,32,256,RTX 4060,15.2,13.1,2.8,Design,2,5,379900.0,Dell Core i5 32GB
Dell,Core i3,32,256,RTX 3050,14.4,11.2,2.1,Programming,1,3,298200.0,Dell Core i3 32GB
Acer,Core i7,8,256,RTX 2050,15.5,11.5,2.2,Design,3,2,229900.0,Acer Core i7 8GB
ASUS,Ryzen 5,12,2028,RTX 4060,13.9,5.5,1.5,Gaming,2,5,395900.0,ASUS Ryzen 5 12GB
Dell,Core i3,32,512,RTX 4060,16.7,5.0,1.8,Video Editing,1,5,420700.0,Dell Core i3 32GB
Apple,Core i3,4,2028,RTX 4060,16.7,9.7,1.6,Design,1,5,394100.0,Apple Core i3 4GB
Acer,Core i5,4,256,RTX 2050,17.1,4.2,1.6,Video Editing,2,2,212100.0,Acer Core i5 4GB
HP,M2,64,512,RTX 2050,13.9,8.8,2.3,Video Editing,4,2,369700.0,HP M2 64GB
ASUS,M2,12,256,GTX 1650,15.8,6.1,1.7,Office,4,1,180400.0,ASUS M2 12GB
Apple,M1,12,2028,RTX 3050,15.2,7.5,2.3,Design,3,3,341600.0,Apple M1 12GB
Apple,Core i5,64,2028,Integrated,14.7,11.8,1.3,Design,2,0,329600.0,Apple Core i5 64GB
HP,Core i7,32,2028,RTX 4060,14.7,13.4,1.5,Video Editing,3,5,456700.0,HP Core i7 32GB
ASUS,M2,12,256,GTX 1650,15.0,4.7,1.7,Gaming,4,1,195600.0,ASUS M2 12GB
Acer,Ryzen 5,4,512,Integrated,16.1,9.3,2.3,Office,2,0,139200.0,Acer Ryzen 5 4GB
Lenovo,Core i5,4,512,GTX 1650,15.7,12.8,2.4,Video Editing,2,1,172500.0,Lenovo Core i5 4GB
ASUS,Core i3,8,256,RTX 2050,15.1,4.8,2.0,Programming,1,2,189700.0,ASUS Core i3 8GB
HP,Ryzen 5,12,512,RTX 4060,13.6,12.2,2.0,Programming,2,5,332100.0,HP Ryzen 5 12GB
Apple,Ryzen 5,32,256,Integrated,13.6,7.6,2.5,Office,2,0,191200.0,Apple Ryzen 5 32GB
Acer,Core i3,64,512,Integrated,13.3,7.2,1.2,Gaming,1,0,284400.0,Acer Core i3 64GB
ASUS,Core i5,64,1024,Integrated,17.2,13.8,1.8,Video Editing,2,0,291900.0,ASUS Core i5 64GB
Lenovo,Core i3,32,1024,Integrated,13.3,6.0,2.7,Design,1,0,201300.0,Lenovo Core i3 32GB
Lenovo,M1,8,2028,Integrated,13.7,10.9,2.3,Office,3,0,203200.0,Lenovo M1 8GB
Dell,Ryzen 5,64,1024,GTX 1650,14.6,12.2,1.8,Gaming,2,1,342500.0,Dell Ryzen 5 64GB
Dell,Ryzen 7,12,1024,RTX 4060,16.5,4.4,2.8,Design,3,5,355100.0,Dell Ryzen 7 12GB
MSI,Ryzen 7,8,1024,RTX 2050,17.1,10.7,2.6,Programming,3,2,253700.0,MSI Ryzen 7 8GB
HP,Core i7,12,256,RTX 2050,16.5,13.5,1.7,Programming,3,2,219800.0,HP Core i7 12GB
ASUS,M2,4,1024,RTX 2050,16.1,5.2,2.4,Design,4,2,265900.0,ASUS M2 4GB
ASUS,Core i3,8,1024,RTX 2050,15.4,13.0,2.3,Office,1,2,243900.0,ASUS Core i3 8GB
MSI,Core i3,64,2028,GTX 1650,13.6,9.9,1.9,Programming,1,1,381200.0,MSI Core i3 64GB
Apple,Core i7,8,1024,RTX 3050,17.1,10.2,1.9,Video Editing,3,3,298000.0,Apple Core i7 8GB
Apple,Core i7,8,1024,RTX 4060,16.3,10.1,1.8,Design,3,5,350700.0,Apple Core i7 8GB
MSI,Core i7,8,512,Integrated,15.9,7.0,2.3,Design,3,0,176300.0,MSI Core i7 8GB
Apple,Ryzen 5,8,2028,RTX 3050,16.3,13.4,2.0,Programming,2,3,301700.0,Apple Ryzen 5 8GB
Dell,M1,12,2028,RTX 2050,16.2,13.5,2.7,Office,3,2,310700.0,Dell M1 12GB
ASUS,Core i3,4,2028,RTX 3050,15.8,10.3,2.4,Video Editing,1,3,320800.0,ASUS Core i3 4GB
MSI,Ryzen 5,32,2028,RTX 4060,17.2,11.8,1.3,Office,2,5,461600.0,MSI Ryzen 5 32GB
ASUS,Core i7,8,2028,Integrated,16.9,10.1,2.4,Gaming,3,0,220800.0,ASUS Core i7 8GB
Lenovo,Core i3,64,2028,Integrated,15.9,8.8,1.7,Gaming,1,0,337100.0,Lenovo Core i3 64GB
Dell,Ryzen 5,8,256,RTX 4060,16.1,10.6,2.3,Programming,2,5,324400.0,Dell Ryzen 5 8GB
Acer,M1,64,1024,RTX 4060,13.5,9.5,2.4,Programming,3,5,507500.0,Acer M1 64GB
Dell,Ryzen 5,12,2028,RTX 2050,16.0,10.0,1.6,Programming,2,2,280000.0,Dell Ryzen 5 12GB
MSI,M1,64,1024,Integrated,13.5,11.8,2.0,Gaming,3,0,297100.0,MSI M1 64GB
Acer,Core i7,32,1024,RTX 3050,15.7,8.8,1.5,Office,3,3,338100.0,Acer Core i7 32GB
Lenovo,M1,4,256,GTX 1650,17.3,4.4,1.3,Office,3,1,166100.0,Lenovo M1 4GB
MSI,Core i3,64,2028,GTX 1650,15.5,5.6,1.9,Programming,1,1,387100.0,MSI Core i3 64GB
HP,Core i7,64,512,RTX 4060,15.2,8.4,1.9,Video Editing,3,5,476200.0,HP Core i7 64GB
ASUS,Core i3,4,256,RTX 2050,14.6,11.2,3.0,Office,1,2,194200.0,ASUS Core i3 4GB
