Mission ID,Launch_Year,Launch_Month,Launch_Day,Country,Agency,Rocket,Launch_Site,Payload_kg,Launch_Cost_USD,Fuel_Used_Tons,Mission_Duration_Days,Delay_Days,Crew_Size,Weather,Orbit_Type,Satellite_Type,Mission_Status,Failure_Reason,Revenue_USD
1,2006,4,8,UAE,JAXA,GSLV Mk III,Tanegashima Space Center,7367,470000000,405,166,9,0,Rain,Polar,Communication,Success,No Failure,494000000
2,2019,11,12,France,ISRO,Falcon Heavy,Guiana Space Centre,47444,138000000,268,307,11,2,Rain,LEO,Military,Success,No Failure,206000000
3,2014,12,16,Russia,Roscosmos,Falcon Heavy,Kennedy Space Center,36502,426000000,416,36,5,0,Clear,GEO,Military,Failure,Weather,525000000
4,2010,10,11,France,NASA,Falcon Heavy,Tanegashima Space Center,22881,209000000,938,351,4,0,Storm,Sun-Synchronous,Communication,Success,No Failure,335000000
5,2007,5,26,France,NASA,Falcon 9,Guiana Space Centre,39569,298000000,610,211,5,2,Cloudy,Sun-Synchronous,Communication,Success,No Failure,416000000
6,2020,1,23,Russia,JAXA,Soyuz,Kennedy Space Center,18017,319000000,413,113,0,2,Clear,LEO,Military,Success,No Failure,349000000
7,2006,5,23,China,NASA,Falcon 9,Guiana Space Centre,12330,75000000,439,117,3,1,Rain,LEO,Communication,Success,No Failure,169000000
8,2025,3,1,USA,SpaceX,Falcon 9,Kennedy Space Center,11089,215000000,344,316,7,6,Clear,LEO,Navigation,Success,No Failure,233000000
9,2018,3,24,China,NASA,Falcon 9,Baikonur Cosmodrome,35330,398000000,554,51,3,1,Storm,MEO,Weather,Success,No Failure,582000000
10,2022,7,6,China,ISRO,Ariane 6,Baikonur Cosmodrome,5127,42000000,337,15,13,1,Rain,Polar,Weather,Failure,Navigation Error,159000000
11,2010,3,14,UAE,SpaceX,Ariane 6,Tanegashima Space Center,46410,284000000,226,201,14,0,Storm,GEO,Scientific,Success,No Failure,462000000
12,2010,4,2,India,NASA,Soyuz,Kennedy Space Center,968,264000000,348,347,12,5,Storm,LEO,Military,Success,No Failure,329000000
13,2023,4,19,India,ISRO,Starship,Baikonur Cosmodrome,1844,279000000,669,124,9,4,Rain,GEO,Weather,Success,No Failure,464000000
14,2020,3,23,China,ISRO,GSLV Mk III,Tanegashima Space Center,25954,437000000,333,340,7,5,Cloudy,Sun-Synchronous,Weather,Success,No Failure,508000000
15,2003,8,25,Japan,ESA,Starship,Satish Dhawan Space Centre,6598,250000000,862,156,10,6,Storm,Polar,Weather,Success,No Failure,348000000
16,2007,10,21,UAE,ISRO,Starship,Baikonur Cosmodrome,45369,229000000,626,208,7,3,Rain,Polar,Communication,Success,No Failure,323000000
17,2023,1,16,France,JAXA,Falcon 9,Baikonur Cosmodrome,32729,181000000,867,242,1,4,Clear,GEO,Communication,Success,No Failure,349000000
18,2002,11,2,India,CNSA,H-IIA,Jiuquan Satellite Launch Center,37075,396000000,103,164,5,2,Clear,Sun-Synchronous,Weather,Success,No Failure,511000000
19,2021,9,26,China,Roscosmos,Starship,Guiana Space Centre,38004,373000000,868,260,6,0,Storm,Sun-Synchronous,Navigation,Success,No Failure,486000000
20,2020,5,1,UAE,NASA,Falcon 9,Satish Dhawan Space Centre,21841,189000000,860,277,6,5,Rain,MEO,Communication,Failure,Engine Failure,342000000
21,2001,10,18,USA,JAXA,Falcon 9,Kennedy Space Center,15875,406000000,369,347,0,0,Storm,LEO,Weather,Success,No Failure,578000000
22,2023,4,12,Japan,NASA,GSLV Mk III,Tanegashima Space Center,30606,358000000,528,193,3,3,Cloudy,Sun-Synchronous,Scientific,Success,No Failure,544000000
23,2011,7,22,Russia,NASA,Falcon Heavy,Satish Dhawan Space Centre,37151,309000000,591,325,13,6,Clear,LEO,Weather,Success,No Failure,477000000
24,2005,8,9,China,ISRO,Falcon 9,Kennedy Space Center,26405,493000000,807,238,6,4,Cloudy,LEO,Military,Success,No Failure,578000000
25,2001,11,2,UAE,ISRO,Ariane 6,Baikonur Cosmodrome,591,246000000,771,50,5,7,Storm,GEO,Weather,Success,No Failure,309000000
26,2020,8,23,China,NASA,Starship,Jiuquan Satellite Launch Center,2384,380000000,270,213,14,2,Cloudy,LEO,Military,Failure,Software Bug,412000000
27,2000,6,5,France,CNSA,GSLV Mk III,Tanegashima Space Center,13932,382000000,731,266,12,3,Cloudy,GEO,Scientific,Failure,Engine Failure,493000000
28,2011,8,18,Japan,SpaceX,Long March 5,Tanegashima Space Center,47550,498000000,983,90,11,0,Storm,Polar,Scientific,Success,No Failure,524000000
29,2025,10,22,India,SpaceX,Long March 5,Satish Dhawan Space Centre,20005,62000000,392,144,2,3,Storm,Sun-Synchronous,Navigation,Success,No Failure,179000000
30,2021,1,20,India,Roscosmos,Long March 5,Guiana Space Centre,14702,494000000,263,166,9,1,Storm,GEO,Weather,Success,No Failure,517000000
31,2011,11,4,India,ESA,Starship,Kennedy Space Center,10731,214000000,371,67,9,4,Cloudy,MEO,Communication,Failure,Navigation Error,320000000
32,2024,4,5,Russia,JAXA,Falcon Heavy,Jiuquan Satellite Launch Center,40910,440000000,630,20,0,2,Rain,GEO,Navigation,Success,No Failure,625000000
33,2016,12,17,UAE,Roscosmos,Soyuz,Jiuquan Satellite Launch Center,41220,31000000,795,111,4,1,Rain,LEO,Navigation,Success,No Failure,88000000
34,2009,8,5,Japan,NASA,H-IIA,Satish Dhawan Space Centre,10095,490000000,64,69,10,4,Rain,MEO,Military,Success,No Failure,505000000
35,2015,7,18,Japan,JAXA,Falcon Heavy,Guiana Space Centre,20587,484000000,529,25,7,1,Cloudy,LEO,Navigation,Success,No Failure,516000000
36,2014,3,8,India,NASA,H-IIA,Guiana Space Centre,4982,291000000,927,345,14,3,Clear,MEO,Navigation,Success,No Failure,348000000
37,2014,3,25,India,NASA,GSLV Mk III,Guiana Space Centre,35249,81000000,183,310,13,2,Clear,GEO,Navigation,Success,No Failure,267000000
38,2018,2,25,France,ESA,Falcon Heavy,Tanegashima Space Center,14418,36000000,767,12,2,5,Storm,LEO,Military,Failure,Navigation Error,106000000
39,2011,12,26,USA,ISRO,Long March 5,Kennedy Space Center,30484,290000000,73,65,4,3,Rain,GEO,Scientific,Success,No Failure,458000000
40,2022,9,22,USA,ESA,Falcon Heavy,Kennedy Space Center,43252,45000000,426,182,14,3,Clear,Sun-Synchronous,Navigation,Success,No Failure,187000000
41,2019,4,25,China,Roscosmos,GSLV Mk III,Satish Dhawan Space Centre,16313,64000000,646,234,8,6,Rain,MEO,Scientific,Success,No Failure,140000000
42,2024,3,10,China,ISRO,GSLV Mk III,Baikonur Cosmodrome,4966,405000000,191,323,13,4,Cloudy,Polar,Scientific,Success,No Failure,580000000
43,2002,7,27,Japan,ISRO,Long March 5,Satish Dhawan Space Centre,35499,164000000,701,133,7,2,Storm,Polar,Military,Success,No Failure,329000000
44,2004,9,28,Japan,Roscosmos,Ariane 6,Kennedy Space Center,22665,84000000,488,186,10,2,Storm,GEO,Scientific,Success,No Failure,124000000
45,2018,3,23,Russia,ISRO,Starship,Tanegashima Space Center,41664,369000000,373,79,8,3,Storm,MEO,Military,Success,No Failure,564000000
46,2006,4,15,Russia,JAXA,H-IIA,Satish Dhawan Space Centre,13741,499000000,171,132,14,6,Storm,MEO,Navigation,Success,No Failure,690000000
47,2020,2,15,USA,SpaceX,Falcon 9,Baikonur Cosmodrome,43679,305000000,349,275,12,2,Storm,GEO,Communication,Success,No Failure,331000000
48,2008,9,11,China,Roscosmos,Soyuz,Jiuquan Satellite Launch Center,13612,87000000,390,337,4,0,Storm,Polar,Military,Success,No Failure,118000000
49,2006,2,19,USA,Roscosmos,Soyuz,Satish Dhawan Space Centre,25297,381000000,228,311,12,6,Storm,Sun-Synchronous,Communication,Success,No Failure,403000000
50,2017,8,23,USA,SpaceX,Long March 5,Guiana Space Centre,9883,319000000,257,317,2,2,Rain,Polar,Navigation,Success,No Failure,372000000
51,2003,7,28,China,ESA,Ariane 6,Baikonur Cosmodrome,20199,115000000,215,200,12,3,Clear,LEO,Communication,Success,No Failure,299000000
52,2024,7,27,UAE,ESA,Soyuz,Guiana Space Centre,11981,79000000,90,101,10,0,Rain,Polar,Weather,Success,No Failure,94000000
53,2013,8,7,Russia,ESA,Falcon Heavy,Tanegashima Space Center,5675,276000000,683,152,8,6,Rain,LEO,Weather,Success,No Failure,295000000
54,2017,5,14,France,ISRO,GSLV Mk III,Kennedy Space Center,18482,38000000,605,216,3,0,Clear,LEO,Navigation,Failure,Weather,105000000
55,2025,6,13,France,SpaceX,H-IIA,Satish Dhawan Space Centre,31834,52000000,124,147,0,4,Rain,Sun-Synchronous,Scientific,Failure,Communication Failure,101000000
56,2008,6,12,France,JAXA,Ariane 6,Satish Dhawan Space Centre,18426,486000000,529,280,14,3,Storm,Sun-Synchronous,Scientific,Success,No Failure,509000000
57,2025,8,3,China,Roscosmos,GSLV Mk III,Guiana Space Centre,8833,439000000,397,310,10,2,Rain,Polar,Military,Success,No Failure,599000000
58,2020,9,16,India,Roscosmos,Long March 5,Guiana Space Centre,14960,110000000,321,233,14,5,Storm,GEO,Weather,Success,No Failure,190000000
59,2001,4,12,India,Roscosmos,GSLV Mk III,Kennedy Space Center,589,480000000,995,149,1,0,Clear,Polar,Military,Failure,Engine Failure,632000000
60,2019,10,14,India,ISRO,H-IIA,Satish Dhawan Space Centre,29061,494000000,215,337,7,3,Rain,Sun-Synchronous,Navigation,Success,No Failure,636000000
61,2014,6,12,Japan,ISRO,Falcon 9,Kennedy Space Center,21290,257000000,811,275,1,4,Cloudy,LEO,Communication,Success,No Failure,307000000
62,2006,10,4,Russia,CNSA,GSLV Mk III,Guiana Space Centre,5990,481000000,135,181,5,1,Rain,LEO,Weather,Success,No Failure,638000000
63,2011,12,21,Russia,JAXA,GSLV Mk III,Jiuquan Satellite Launch Center,48555,43000000,950,151,11,1,Clear,GEO,Scientific,Success,No Failure,180000000
64,2007,11,7,UAE,ESA,Ariane 6,Guiana Space Centre,43723,246000000,698,293,4,2,Cloudy,Polar,Military,Success,No Failure,307000000
65,2014,12,5,UAE,CNSA,H-IIA,Baikonur Cosmodrome,12204,358000000,894,284,8,7,Storm,GEO,Communication,Success,No Failure,377000000
66,2002,10,15,Japan,CNSA,Falcon Heavy,Guiana Space Centre,33127,400000000,600,204,7,1,Cloudy,GEO,Scientific,Success,No Failure,530000000
67,2013,9,8,USA,ISRO,Starship,Guiana Space Centre,18093,428000000,648,80,0,0,Storm,Polar,Scientific,Success,No Failure,524000000
68,2016,4,10,UAE,ESA,Soyuz,Jiuquan Satellite Launch Center,38246,414000000,204,327,2,5,Clear,MEO,Navigation,Success,No Failure,578000000
69,2003,8,2,France,ESA,Falcon Heavy,Kennedy Space Center,36492,284000000,721,149,13,0,Storm,Polar,Scientific,Success,No Failure,344000000
70,2017,10,21,India,Roscosmos,Falcon Heavy,Baikonur Cosmodrome,38124,25000000,625,277,11,3,Clear,GEO,Scientific,Success,No Failure,141000000
71,2007,5,7,France,ISRO,Falcon Heavy,Baikonur Cosmodrome,24677,77000000,272,35,4,2,Rain,MEO,Scientific,Success,No Failure,196000000
72,2003,11,28,India,ESA,Soyuz,Satish Dhawan Space Centre,23123,119000000,466,216,11,5,Cloudy,GEO,Communication,Success,No Failure,188000000
73,2001,6,25,France,CNSA,Long March 5,Jiuquan Satellite Launch Center,26435,141000000,411,1,7,3,Cloudy,GEO,Communication,Success,No Failure,275000000
74,2005,7,2,USA,SpaceX,Falcon Heavy,Tanegashima Space Center,648,376000000,395,206,6,7,Cloudy,GEO,Scientific,Success,No Failure,503000000
75,2021,12,15,France,SpaceX,Starship,Satish Dhawan Space Centre,15763,176000000,195,92,1,5,Storm,LEO,Navigation,Success,No Failure,191000000
76,2009,9,24,France,ISRO,Long March 5,Satish Dhawan Space Centre,24949,220000000,765,91,13,3,Clear,Polar,Scientific,Success,No Failure,341000000
77,2003,2,10,China,Roscosmos,GSLV Mk III,Satish Dhawan Space Centre,24583,244000000,116,70,11,6,Rain,Sun-Synchronous,Weather,Success,No Failure,281000000
78,2021,4,17,France,Roscosmos,Starship,Baikonur Cosmodrome,32102,490000000,566,132,6,2,Clear,LEO,Weather,Success,No Failure,643000000
79,2017,9,22,China,ESA,Ariane 6,Kennedy Space Center,42814,482000000,108,257,4,5,Cloudy,Polar,Military,Success,No Failure,508000000
80,2025,2,15,Russia,JAXA,H-IIA,Guiana Space Centre,14038,286000000,637,355,5,5,Storm,LEO,Weather,Success,No Failure,469000000
81,2011,7,16,Japan,ISRO,Long March 5,Baikonur Cosmodrome,47383,170000000,821,92,7,3,Rain,Polar,Military,Success,No Failure,290000000
82,2001,12,1,France,JAXA,GSLV Mk III,Guiana Space Centre,27481,429000000,809,82,4,7,Rain,MEO,Military,Success,No Failure,448000000
83,2009,11,6,Russia,SpaceX,GSLV Mk III,Guiana Space Centre,49456,276000000,65,308,8,7,Storm,Sun-Synchronous,Military,Success,No Failure,444000000
84,2003,1,26,UAE,CNSA,Falcon Heavy,Tanegashima Space Center,2863,497000000,636,99,0,5,Clear,MEO,Military,Failure,Fuel Leak,565000000
85,2013,1,18,UAE,ESA,Falcon Heavy,Satish Dhawan Space Centre,28008,100000000,917,53,4,1,Storm,MEO,Scientific,Success,No Failure,276000000
86,2015,5,3,China,CNSA,Soyuz,Tanegashima Space Center,3607,450000000,535,341,0,4,Cloudy,Polar,Communication,Success,No Failure,593000000
87,2014,11,19,France,JAXA,Falcon 9,Satish Dhawan Space Centre,6128,385000000,938,80,0,3,Cloudy,GEO,Weather,Success,No Failure,504000000
88,2007,7,12,France,ESA,Starship,Baikonur Cosmodrome,1951,444000000,225,312,0,5,Cloudy,GEO,Weather,Success,No Failure,537000000
89,2013,8,10,USA,NASA,Soyuz,Guiana Space Centre,49463,426000000,371,359,14,0,Rain,GEO,Weather,Success,No Failure,612000000
90,2022,2,22,Russia,CNSA,Soyuz,Tanegashima Space Center,41909,119000000,510,343,4,6,Cloudy,GEO,Military,Success,No Failure,233000000
91,2024,3,26,India,ISRO,Starship,Jiuquan Satellite Launch Center,15680,124000000,185,246,8,0,Clear,Sun-Synchronous,Navigation,Success,No Failure,282000000
92,2007,6,4,India,CNSA,H-IIA,Baikonur Cosmodrome,12877,271000000,477,289,1,6,Rain,MEO,Communication,Success,No Failure,424000000
93,2020,4,24,USA,CNSA,Long March 5,Baikonur Cosmodrome,44048,152000000,838,279,5,1,Clear,LEO,Navigation,Success,No Failure,314000000
94,2015,9,6,China,ESA,Ariane 6,Jiuquan Satellite Launch Center,20819,118000000,843,262,4,3,Rain,Sun-Synchronous,Navigation,Success,No Failure,294000000
95,2012,5,4,India,SpaceX,Starship,Satish Dhawan Space Centre,31185,197000000,980,341,11,6,Clear,Polar,Weather,Failure,Navigation Error,242000000
96,2017,7,1,India,JAXA,GSLV Mk III,Guiana Space Centre,49601,284000000,960,261,13,7,Cloudy,Sun-Synchronous,Navigation,Success,No Failure,400000000
97,2014,9,10,UAE,NASA,Ariane 6,Satish Dhawan Space Centre,23714,151000000,729,333,6,3,Rain,Sun-Synchronous,Scientific,Success,No Failure,322000000
98,2020,3,6,UAE,CNSA,H-IIA,Satish Dhawan Space Centre,31613,218000000,591,232,6,2,Clear,Polar,Navigation,Success,No Failure,299000000
99,2023,1,26,Japan,JAXA,Falcon 9,Baikonur Cosmodrome,18173,212000000,371,248,2,7,Rain,LEO,Navigation,Failure,Navigation Error,235000000
100,2025,4,16,Russia,JAXA,H-IIA,Satish Dhawan Space Centre,32377,227000000,385,255,5,3,Rain,MEO,Weather,Success,No Failure,421000000
101,2024,5,24,China,SpaceX,Long March 5,Kennedy Space Center,36365,76000000,830,83,14,7,Cloudy,Sun-Synchronous,Navigation,Success,No Failure,134000000
102,2012,2,9,France,Roscosmos,Falcon Heavy,Jiuquan Satellite Launch Center,46856,399000000,562,265,2,3,Rain,Polar,Military,Success,No Failure,495000000
103,2008,9,24,Russia,NASA,Falcon 9,Jiuquan Satellite Launch Center,19031,428000000,220,3,1,0,Storm,Polar,Communication,Success,No Failure,513000000
104,2014,5,9,China,NASA,Falcon 9,Guiana Space Centre,10157,461000000,973,223,4,2,Clear,LEO,Scientific,Failure,Engine Failure,554000000
105,2012,5,25,India,JAXA,H-IIA,Jiuquan Satellite Launch Center,5020,281000000,178,250,3,7,Storm,Sun-Synchronous,Communication,Failure,Software Bug,350000000
106,2000,12,12,Japan,ESA,Falcon Heavy,Satish Dhawan Space Centre,46609,249000000,729,192,12,3,Rain,Polar,Military,Failure,Navigation Error,346000000
107,2024,1,23,Russia,CNSA,Falcon 9,Satish Dhawan Space Centre,36984,161000000,467,46,3,5,Clear,LEO,Navigation,Success,No Failure,331000000
108,2006,1,22,India,Roscosmos,Long March 5,Tanegashima Space Center,30077,82000000,446,295,3,1,Storm,LEO,Weather,Success,No Failure,253000000
109,2008,10,3,China,ESA,Long March 5,Guiana Space Centre,48099,137000000,110,269,7,6,Storm,Polar,Communication,Success,No Failure,178000000
110,2023,11,10,Russia,ISRO,Long March 5,Guiana Space Centre,31058,478000000,166,41,12,3,Cloudy,Polar,Navigation,Success,No Failure,670000000
111,2000,11,15,France,SpaceX,Soyuz,Jiuquan Satellite Launch Center,42110,340000000,883,139,13,2,Storm,Sun-Synchronous,Communication,Success,No Failure,378000000
112,2011,1,3,Russia,SpaceX,Soyuz,Satish Dhawan Space Centre,30169,327000000,684,41,0,1,Rain,Sun-Synchronous,Navigation,Success,No Failure,491000000
113,2007,7,22,India,ESA,Long March 5,Kennedy Space Center,28338,340000000,821,331,2,1,Clear,MEO,Weather,Success,No Failure,451000000
114,2023,11,14,Russia,JAXA,Falcon Heavy,Tanegashima Space Center,1710,264000000,522,175,8,1,Rain,Polar,Military,Success,No Failure,399000000
115,2010,3,25,France,SpaceX,Falcon Heavy,Kennedy Space Center,35455,400000000,787,291,2,0,Storm,GEO,Communication,Success,No Failure,495000000
116,2018,5,27,Japan,CNSA,Starship,Satish Dhawan Space Centre,8558,375000000,446,323,0,0,Rain,GEO,Scientific,Success,No Failure,455000000
117,2016,2,22,Japan,SpaceX,Starship,Guiana Space Centre,43804,155000000,853,280,12,1,Storm,MEO,Military,Failure,Navigation Error,268000000
118,2007,2,15,India,CNSA,H-IIA,Guiana Space Centre,33199,115000000,913,94,4,5,Cloudy,Polar,Weather,Success,No Failure,266000000
119,2002,1,14,China,ISRO,Long March 5,Kennedy Space Center,11963,244000000,747,352,3,0,Rain,LEO,Scientific,Success,No Failure,383000000
120,2002,11,8,India,Roscosmos,Ariane 6,Baikonur Cosmodrome,3343,27000000,646,340,9,1,Rain,GEO,Navigation,Success,No Failure,43000000
121,2000,8,8,Japan,NASA,Falcon 9,Satish Dhawan Space Centre,14835,33000000,267,205,12,1,Cloudy,Sun-Synchronous,Communication,Failure,Communication Failure,123000000
122,2004,8,5,USA,ESA,Falcon 9,Guiana Space Centre,20334,43000000,704,56,7,4,Rain,GEO,Scientific,Success,No Failure,213000000
123,2009,5,5,USA,ESA,Falcon Heavy,Jiuquan Satellite Launch Center,28227,211000000,526,231,10,0,Storm,Polar,Military,Success,No Failure,242000000
124,2006,8,3,Russia,CNSA,Ariane 6,Baikonur Cosmodrome,7144,260000000,651,260,11,4,Cloudy,GEO,Scientific,Success,No Failure,283000000
125,2025,2,1,France,ISRO,Falcon 9,Guiana Space Centre,45814,368000000,902,220,10,5,Rain,MEO,Weather,Failure,Weather,559000000
126,2008,5,12,UAE,ISRO,H-IIA,Jiuquan Satellite Launch Center,43096,44000000,317,168,8,5,Storm,Sun-Synchronous,Scientific,Success,No Failure,182000000
127,2006,9,21,UAE,JAXA,GSLV Mk III,Guiana Space Centre,30739,409000000,125,171,9,7,Storm,MEO,Communication,Success,No Failure,459000000
128,2008,9,11,UAE,NASA,Soyuz,Baikonur Cosmodrome,20744,148000000,118,314,4,1,Clear,LEO,Communication,Success,No Failure,293000000
129,2007,2,10,Russia,Roscosmos,Falcon 9,Kennedy Space Center,18028,106000000,494,318,0,1,Clear,LEO,Navigation,Success,No Failure,144000000
130,2011,11,12,USA,ESA,Falcon 9,Satish Dhawan Space Centre,40928,252000000,347,137,3,4,Clear,LEO,Scientific,Success,No Failure,342000000
131,2001,11,9,Japan,CNSA,Starship,Baikonur Cosmodrome,517,308000000,523,278,2,2,Cloudy,LEO,Scientific,Success,No Failure,408000000
132,2000,7,10,Russia,ISRO,GSLV Mk III,Baikonur Cosmodrome,46888,417000000,209,260,5,1,Storm,Polar,Weather,Success,No Failure,471000000
133,2015,2,25,UAE,ESA,Falcon 9,Guiana Space Centre,6499,466000000,947,291,14,5,Cloudy,Polar,Communication,Success,No Failure,611000000
134,2022,9,26,UAE,CNSA,Soyuz,Jiuquan Satellite Launch Center,18540,75000000,57,289,1,5,Cloudy,Polar,Military,Success,No Failure,201000000
135,2022,1,13,India,SpaceX,H-IIA,Baikonur Cosmodrome,12897,209000000,780,135,4,7,Cloudy,MEO,Navigation,Success,No Failure,352000000
136,2023,10,9,UAE,ESA,Falcon 9,Satish Dhawan Space Centre,45886,47000000,534,105,7,0,Cloudy,MEO,Scientific,Success,No Failure,235000000
137,2004,9,1,France,Roscosmos,Falcon Heavy,Kennedy Space Center,34555,48000000,871,227,10,3,Cloudy,GEO,Navigation,Success,No Failure,80000000
138,2002,4,24,UAE,CNSA,GSLV Mk III,Jiuquan Satellite Launch Center,17151,298000000,953,190,4,7,Rain,Sun-Synchronous,Scientific,Success,No Failure,367000000
139,2011,9,12,India,Roscosmos,Falcon 9,Kennedy Space Center,33702,191000000,137,195,4,6,Clear,MEO,Scientific,Success,No Failure,241000000
140,2007,12,24,UAE,ESA,Ariane 6,Kennedy Space Center,35765,57000000,190,64,7,5,Cloudy,GEO,Weather,Success,No Failure,80000000
141,2021,7,26,France,SpaceX,GSLV Mk III,Satish Dhawan Space Centre,39708,452000000,590,171,10,3,Rain,LEO,Scientific,Success,No Failure,488000000
142,2002,12,23,Japan,Roscosmos,Falcon 9,Guiana Space Centre,39305,318000000,574,18,4,3,Rain,LEO,Navigation,Success,No Failure,467000000
143,2000,4,25,Russia,ISRO,Soyuz,Jiuquan Satellite Launch Center,41074,285000000,875,259,3,7,Storm,MEO,Navigation,Failure,Weather,401000000
